Customer_ID,Customer_name,Email_address,Phone_number
10012,Joe,Joe@gmail.com,(+61) 451969017
10022,Ben,Ben@gmail.com,451969021
10032,Zumara,Zumara@gmail.com,451972478
10042,Chris,Chris@gmail.com,451990757
10442,Amelia,Amelia@gmail.com,846357736
10062,Stu,Stu@gmail.com,(+1) 508310266
10072,Michelly,Michelly@gmail.com,508310262
10082,Nguyen,Nguyen@gmail.com,508310266
10092,Faiyaz,Faiyaz@gmail.com,508313723
10102,Frankie,Frankie@gmail.com,508332002
10112,Kaitelyn,Kaitelyn@gmail.com,564651507
10122,Thomas,Thomas@gmail.com,564651511
10132,Libby,Libby@gmail.com,564651507
10142,Quang,Quang@gmail.com,564651511
10152,Kami,Kami@gmail.com,564654968
10162,Toan,Toan@gmail.com,564673247
10172,Mai,Mai@gmail.com,(+41)  620992752
10182,Thao,Thao@gmail.com,620992756
10192,Kylie,Kylie@gmail.com,620992752
10012,Joe,Joe@gmail.com,(+61) 451969017
10212,Philip,Philip@gmail.com,620996213
10222,Chau,Chau@gmail.com,621014492
10232,Bao,Bao@gmail.com,677333997
10242,Phelim,Phelim@gmail.com,(+84) 677334001
10252,Hailey,Hailey@gmail.com,677333997
10262,Nhien,Nhien@gmail.com,677334001
10272,Quynh,Quynh@gmail.com,677337458
10282,Chivas,Chivas@gmail.com,(+33) 677355737
10292,Nhan,Nhan@gmail.com,733675242
10302,Minh,Minh@gmail.com,733675246
10312,Binh,Binh@gmail.com,733675242
10322,Vi,Vi@gmail.com,733675246
10332,Man,Man@gmail.com,733678703
10292,Nhan,Nhan@gmail.com,733675242
10352,Porter,Porter@gmail.com,(+21) 790016487
10362,Phu,Phu@gmail.com,790016491
10372,Linh,Linh@gmail.com,790016487
10382,Phu,Phu@gmail.com,790016491
10392,Hiep,Hiep@gmail.com,790019948
10402,Harry,Harry@gmail.com,790038227
10412,My,My@gmail.com,846357732
10372,Linh,Linh@gmail.com,790016487
10432,Johny,Johny@gmail.com,846357732
10442,Amelia,Amelia@gmail.com,846357736
10452,Tung,Tung@gmail.com,846361193
10462,Nhi,Nhi@gmail.com,(+67) 846379472
10472,Guong,Guong@gmail.com,902698977
10482,Chau,Chau@gmail.com,902698981
10492,Khoa,Khoa@gmail.com,902698977
10502,Tiffany,Tiffany@gmail.com,902698981
10512,Chloe,Chloe@gmail.com,902702438
10522,Sally,Sally@gmail.com,902720717
10632,Trinh,Trinh@gmail.com,752513031
10542,Dan,Dan@gmail.com,959040226
10552,David,David@gmail.com,959040222
10562,Hammish,Hammish@gmail.com,(+79) 959040226
10572,Quoc,Quoc@gmail.com,959043683
10582,Heldi,Heldi@gmail.com,959061962
10592,Kenbi,Kenbi@gmail.com,733679933
10602,Karthi,Karthi@gmail.com,902707125
10612,Hai,Hai@gmail.com,902726469
10622,Ly,Ly@gmail.com,734483765
10632,Trinh,Trinh@gmail.com,752513031
10642,Joenel,Joenel@gmail.com,667757923
